Unnamed: 0,UNNAMED: 0,ASSET_NAME,ASSET_ID,ASSET_TYPE,OPERATING_STATUS,POOL_PARTICIPANT_NAME,POOL_PARTICIPANT_ID,NET_TO_GRID_ASSET_FLAG,ASSET_INCL_STORAGE_FLAG,REGION,TYPE,POOL_ID
2062,2062,NABC NAGP BC IMPORT,NABC,SOURCE,Retired,Noble Americas Gas & Power Corp.,NAGP,,,,,
2065,2065,NAMT NAGP MT IMPORT,NAMT,SOURCE,Retired,Noble Americas Gas & Power Corp.,NAGP,,,,,
2066,2066,NASK NAGP SASK IMPORT,NASK,SOURCE,Retired,Noble Americas Gas & Power Corp.,NAGP,,,,,
2068,2068,NAXB NAGP BC EXPORT,NAXB,SINK,Retired,Noble Americas Gas & Power Corp.,NAGP,,,,,
2069,2069,NAXM NAGP MT EXPORT,NAXM,SINK,Retired,Noble Americas Gas & Power Corp.,NAGP,,,,,
2070,2070,NAXS NAGP SASK EXPORT,NAXS,SINK,Retired,Noble Americas Gas & Power Corp.,NAGP,,,,,
2140,2140,NXBC NXI BC IMPORT,NXBC,SOURCE,Inactive,CNOOC Petroleum North America ULC,NXI,,,,,
2144,2144,NXSK NXI SASK IMPORT,NXSK,SOURCE,Inactive,CNOOC Petroleum North America ULC,NXI,,,,,
2145,2145,NXXB NXI BC EXPORT,NXXB,SINK,Inactive,CNOOC Petroleum North America ULC,NXI,,,,,
2146,2146,NXXS NXI SASK EXPORT,NXXS,SINK,Inactive,CNOOC Petroleum North America ULC,NXI,,,,,
2161,2161,OPBC OPGI BC IMPORT,OPBC,SOURCE,Active,Ontario Power Generation Inc.,OPGI,,,,,
2162,2162,OPMT OPGI MT IMPORT,OPMT,SOURCE,Active,Ontario Power Generation Inc.,OPGI,,,,,
2163,2163,OPSK OPGI SK IMPORT,OPSK,SOURCE,Active,Ontario Power Generation Inc.,OPGI,,,,,
2164,2164,OPXB OPGI BC EXPORT,OPXB,SINK,Active,Ontario Power Generation Inc.,OPGI,,,,,
2165,2165,OPXM OPGI MT EXPORT,OPXM,SINK,Active,Ontario Power Generation Inc.,OPGI,,,,,
2166,2166,OPXS OPGI SK EXPORT,OPXS,SINK,Active,Ontario Power Generation Inc.,OPGI,,,,,
2197,2197,PACIFICORP IMPORT FROM BC,PCI1,SOURCE,Retired,PacifiCorp,PCFC,,,,,
2203,2203,PACIFICORP EXPORT TO BCH,PCX1,SINK,Retired,PacifiCorp,PCFC,,,,,
2206,2206,PEBC BPEG BC IMPORT,PEBC,SOURCE,Active,BP Canada Energy Group ULC,BPEG,,,,,
2211,2211,PESK BPEG SK IMPORT,PESK,SOURCE,Active,BP Canada Energy Group ULC,BPEG,,,,,
2212,2212,PEXB BPEG BC EXPORT,PEXB,SINK,Active,BP Canada Energy Group ULC,BPEG,,,,,
2213,2213,PEXS BPEG SK EXPORT,PEXS,SINK,Active,BP Canada Energy Group ULC,BPEG,,,,,
2216,2216,PGBC BC IMPORT UNIT,PGBC,SOURCE,Retired,PG & E Energy Trading,PGET,,,,,
2221,2221,PGAE EXPORT TO BCH #1,PGE0,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2222,2222,PGE1 PGAE BCH EXPORT 1,PGE1,SINK,Retired,PG & E Energy Trading,PGET,,,,,
